date,open,high,low,close,volume,quote_volume,taker_buy_quote_volume
2026-07-10 18:00:00,67.57,67.975,67.234,67.332,193338.82,13069647.34671,7170039.29533
2026-07-10 19:00:00,67.334,67.58,67.001,67.269,234241.2,15757399.45295,6731903.07345
2026-07-10 20:00:00,67.268,67.295,66.632,66.955,278079.15,18619072.78007,7399737.62042
2026-07-10 21:00:00,66.955,67.419,66.907,67.418,133625.46,8975663.57148,5732291.3216
2026-07-10 22:00:00,67.418,67.64,67.39,67.467,88495.18,5973792.66779,3724515.65955
2026-07-10 23:00:00,67.467,67.562,67.315,67.517,97474.9,6575342.66753,3589872.62361
2026-07-11 00:00:00,67.516,67.625,67.223,67.421,143609.16,9683103.67654,4167793.66042
2026-07-11 01:00:00,67.42,67.687,66.841,66.919,234616.62,15776141.62109,6128164.26618
2026-07-11 02:00:00,66.919,67.322,66.792,67.273,193532.1,12968246.26786,7527275.60002
2026-07-11 03:00:00,67.274,67.325,66.951,67.053,122425.59,8215674.0334,4016779.06343
2026-07-11 04:00:00,67.053,67.089,66.509,66.562,233343.28,15583405.17081,6544012.29975
2026-07-11 05:00:00,66.561,66.672,66.368,66.536,223155.0,14850746.57754,6340611.00948
2026-07-11 06:00:00,66.536,66.676,66.302,66.303,186885.9,12425846.6435,5853122.40319
2026-07-11 07:00:00,66.303,66.466,66.179,66.447,197999.67,13135079.7229,6182180.96008
2026-07-11 08:00:00,66.447,66.74,66.425,66.525,170916.43,11379748.39993,6367314.23888
2026-07-11 09:00:00,66.524,66.881,66.512,66.661,174829.57,11668096.22129,6919773.13169
2026-07-11 10:00:00,66.661,66.994,66.588,66.795,133636.79,8927163.27928,4597220.51624
2026-07-11 11:00:00,66.796,67.025,66.733,67.005,88320.44,5908499.17549,3591829.77836
2026-07-11 12:00:00,67.006,67.17,66.761,66.884,145491.93,9740594.44514,4182089.22351
2026-07-11 13:00:00,66.884,66.923,66.332,66.61,239507.77,15952844.81213,6192076.00869
2026-07-11 14:00:00,66.61,67.825,66.61,67.415,602188.07,40593163.02968,22755983.42109
2026-07-11 15:00:00,67.416,67.664,66.854,67.231,346756.0,23300744.61023,11300654.00004
2026-07-11 16:00:00,67.231,67.28,66.874,67.118,165150.58,11073808.34226,5125523.02602
2026-07-11 17:00:00,67.119,67.55,67.005,67.331,157974.89,10637257.2403,6040715.1417
2026-07-11 18:00:00,67.33,67.773,67.273,67.642,165066.86,11151016.58484,6010001.17331
2026-07-11 19:00:00,67.642,67.851,67.408,67.548,163076.21,11030420.30772,4454089.45114
2026-07-11 20:00:00,67.549,67.932,67.548,67.855,110899.55,7518071.18329,3737637.74876
2026-07-11 21:00:00,67.853,68.265,67.8,68.001,159925.32,10878989.72287,5947842.94775
2026-07-11 22:00:00,68.005,68.118,67.536,67.584,184215.76,12486874.28225,5469657.48627
2026-07-11 23:00:00,67.584,67.7,66.738,66.742,380635.94,25553869.05111,10275510.8735
2026-07-12 00:00:00,66.743,67.147,66.593,66.905,320803.23,21443894.46982,10694706.05601
2026-07-12 01:00:00,66.904,67.388,66.812,67.329,219977.15,14778766.78689,9075116.44516
2026-07-12 02:00:00,67.329,67.44,67.112,67.209,119616.19,8047723.27625,3881952.34457
2026-07-12 03:00:00,67.209,67.276,66.931,67.243,118010.64,7916858.20329,3908048.8238
2026-07-12 04:00:00,67.242,67.349,66.983,67.118,100650.87,6757462.72345,2758131.18946
2026-07-12 05:00:00,67.118,67.236,66.94,67.129,72832.03,4886196.1655,2286741.33079
2026-07-12 06:00:00,67.129,67.138,66.47,66.92,343192.3,22914083.05085,9305592.44321
2026-07-12 07:00:00,66.92,67.075,66.852,66.948,88898.71,5952909.31311,3028726.71789
2026-07-12 08:00:00,66.949,67.483,66.93,67.135,174405.45,11727224.78103,6008189.1688
2026-07-12 09:00:00,67.14,67.3,66.7,67.037,208544.82,13971328.00317,7175620.91064
2026-07-12 10:00:00,67.037,67.052,66.565,66.743,280427.02,18703101.17319,7372319.84798
2026-07-12 11:00:00,66.743,67.204,66.638,66.882,143688.3,9618703.36791,4791732.68135
2026-07-12 12:00:00,66.881,67.046,66.642,66.72,140299.4,9376359.75781,4223806.57743
2026-07-12 13:00:00,66.72,67.144,66.611,66.982,177420.95,11885431.57588,6384664.00619
2026-07-12 14:00:00,66.982,67.539,66.981,67.354,209507.7,14082488.4967,7621054.92879
2026-07-12 15:00:00,67.354,67.879,67.352,67.54,359646.62,24336629.90365,13482786.46573
2026-07-12 16:00:00,67.54,68.077,67.512,67.959,241071.97,16362022.39591,9519072.57308
2026-07-12 17:00:00,67.958,68.137,67.728,67.88,178983.06,12167875.49717,6113519.40246
2026-07-12 18:00:00,67.881,68.21,67.787,68.171,136396.23,9272736.79277,4443434.2968
2026-07-12 19:00:00,68.171,68.342,67.922,68.252,158738.0,10819432.1734,5583837.44433
2026-07-12 20:00:00,68.251,68.381,67.804,67.891,101458.17,6903061.23377,3330973.70598
2026-07-12 21:00:00,67.891,68.033,67.601,67.681,136083.53,9220898.67607,3782096.28771
2026-07-12 22:00:00,67.682,67.701,66.915,67.167,295958.62,19911682.91594,9364645.68413
2026-07-12 23:00:00,67.166,67.425,67.044,67.306,159429.1,10714804.30986,6529497.3106
2026-07-13 00:00:00,67.306,68.223,67.203,67.696,489357.75,33135508.91919,15831568.86104
2026-07-13 01:00:00,67.695,67.698,66.923,66.941,277437.49,18643370.47013,8655252.21379
2026-07-13 02:00:00,66.941,67.178,66.863,66.985,201643.31,13511070.58429,6448440.30165
2026-07-13 03:00:00,66.988,67.028,66.511,66.593,501922.9,33468817.75959,13109341.40066
2026-07-13 04:00:00,66.592,66.71,64.855,65.068,1075158.14,70754211.79466,28290417.27827
2026-07-13 05:00:00,65.066,65.6,64.78,65.414,377593.16,24649261.15565,14812177.12462
2026-07-13 06:00:00,65.415,65.634,65.011,65.083,226307.84,14777782.26458,6842949.19636
2026-07-13 07:00:00,65.083,65.593,64.906,65.503,232074.91,15155134.71286,9129481.45346
2026-07-13 08:00:00,65.499,65.795,65.304,65.599,234223.52,15357614.13212,8980502.68535
2026-07-13 09:00:00,65.6,65.631,64.95,64.998,263665.66,17186679.22271,6459753.11296
2026-07-13 10:00:00,64.998,65.237,64.833,65.213,301037.41,19571241.9837,9567671.9912
2026-07-13 11:00:00,65.213,65.377,64.892,65.054,249927.79,16282003.60345,7728421.16056
2026-07-13 12:00:00,65.053,65.11,64.234,64.361,637487.05,41122510.00874,18459829.74877
2026-07-13 13:00:00,64.36,64.476,63.333,63.956,843425.48,53895064.6953,23441965.15829
2026-07-13 14:00:00,63.956,64.412,63.567,64.315,490898.21,31472591.62321,16799700.91901
2026-07-13 15:00:00,64.316,64.452,63.86,63.895,305841.68,19629944.37097,9908186.0931
2026-07-13 16:00:00,63.895,63.944,63.15,63.537,656480.38,41707921.67097,20776383.23933
2026-07-13 17:00:00,63.538,63.981,63.277,63.379,327270.37,20822596.43007,9272055.57715
2026-07-13 18:00:00,63.379,63.819,63.287,63.693,242521.16,15421939.23036,8639461.07159
